,상품 제목,포스터 URL,상세 포스터 URL,공연장소,캐스팅 리스트,해당 링크,시작일,종료일,종료일_date
24,2024 이승철 신곡발매기념 콘서트 “Rock'n All” - 부산,https://image.toast.com/aaaaab/ticketlink/TKL_3/bs_0610.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_9/bs_info_06111059.jpg,드림씨어터,이승철,https://www.ticketlink.co.kr/product/50523,2024.08.17,2024.08.17,2024-08-17
25,2024 이승철 신곡발매기념 콘서트 “Rock'n All” - 춘천,https://image.toast.com/aaaaab/ticketlink/TKL_2/cc_0610.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_3/cc_info_0611.jpg,강원대학교 백령아트센터,이승철,https://www.ticketlink.co.kr/product/50527,2024.09.21,2024.09.21,2024-09-21
26,김태균 쇼(SHOW) - 부산,https://image.toast.com/aaaaab/ticketlink/TKL_1/main0617.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_3/web0617(1).jpg,KBS 부산홀,김태균,https://www.ticketlink.co.kr/product/50627,2024.10.05,2024.10.05,2024-10-05
27,김태균 쇼(SHOW) - 대구,https://image.toast.com/aaaaab/ticketlink/TKL_6/main0617(1).jpg,http://image.toast.com/aaaaab/ticketlink/TKL_10/web0617.jpg,대구 엑스코 오디토리움,김태균,https://www.ticketlink.co.kr/product/50628,2024.10.12,2024.10.12,2024-10-12
32,QM 개미 단독 콘서트,https://image.toast.com/aaaaab/ticketlink/TKL_2/annt_pst0611.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_1/qm_info06101203a.jpg,홍대 웨스트브릿지 라이브홀,"QM, 프롬올투휴먼",https://www.ticketlink.co.kr/product/50546,2024.07.07,2024.07.07,2024-07-07
33,워터밤 제주 2024,https://image.toast.com/aaaaab/ticketlink/TKL_4/jeju_main_0223.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_3/jeju_info_0621.jpg,제주종합경기장,,https://www.ticketlink.co.kr/product/47081,2024.07.13 ,2024.07.13,2024-07-13
34,2024 타임캡슐 슈퍼콘서트 전국투어 in 대전,https://image.toast.com/aaaaab/ticketlink/TKL_1/main0607(1).jpg,http://image.toast.com/aaaaab/ticketlink/TKL_2/1w0607.jpg,대전 목원대학교 특설무대,,https://www.ticketlink.co.kr/product/49389,2024.07.13,2024.07.13,2024-07-13
35,"샤메이 첫 단독 콘서트, 誕生",https://image.toast.com/aaaaab/ticketlink/TKL_3/oz_pst0608.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_10/s_info06101537a.jpg,홍대 롤링홀,샤메이,https://www.ticketlink.co.kr/product/50513,2024.07.13,2024.07.13,2024-07-13
36,워터밤 대구 2024,https://image.toast.com/aaaaab/ticketlink/TKL_1/daegu_main_0223.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_9/dg0613.jpg,대구 스타디움 주경기장,,https://www.ticketlink.co.kr/product/47079,2024.07.20 ,2024.07.20,2024-07-20
37,PITTA 강형호 콘서트: New Normal Life - 부산,https://image.toast.com/aaaaab/ticketlink/TKL_8/main0522(3).jpg,http://image.toast.com/aaaaab/ticketlink/TKL_6/pitta_bs_info_0523.jpg,소향씨어터 신한카드홀,PITTA 강형호,https://www.ticketlink.co.kr/product/50248,2024.07.20,2024.07.21,2024-07-21
38,워터밤 부산 2024,https://image.toast.com/aaaaab/ticketlink/TKL_1/busan_main_0223.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_9/busan_kr_info_0621.jpg,북항친수공원 및 국제여객터미널 야외주차장,,https://www.ticketlink.co.kr/product/47076,2024.07.27 ,2024.07.27,2024-07-27
39,2024 조선의 사랑꾼 원혁 첫 단독콘서트,https://image.toast.com/aaaaab/ticketlink/TKL_9/wonh_pst_0529.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_1/wonh_INFO_0529.jpg,송도센트럴파크호텔 다이아몬드홀,"원혁  (특별출연 개그맨 이용식, 이수민)",https://www.ticketlink.co.kr/product/50374,2024.07.27,2024.07.27,2024-07-27
40,워터밤 인천 2024,https://image.toast.com/aaaaab/ticketlink/TKL_9/ic_0223.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_10/wb_ic_info_tl_0628_optimized.jpg,상상플랫폼 야외광장,,https://www.ticketlink.co.kr/product/47547,2024.08.03,2024.08.03,2024-08-03
41,워터밤 대전 2024,https://image.toast.com/aaaaab/ticketlink/TKL_4/dj_0223.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_9/wb_dj_info_tl_0628_optimized.jpg,목원대학교 대운동장,,https://www.ticketlink.co.kr/product/47546,2024.08.10,2024.08.10,2024-08-10
42,워터밤 속초 2024,https://image.toast.com/aaaaab/ticketlink/TKL_3/sokcho_main_0223.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_1/wb24_sokcho_phase2_0624.jpg,한화리조트 설악,,https://www.ticketlink.co.kr/product/47545,2024.08.17,2024.08.17,2024-08-17
43,워터밤 수원 2024,https://image.toast.com/aaaaab/ticketlink/TKL_10/suwon_main_0223.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_6/suwon_info_0621.jpg,수원대학교 대운동장,,https://www.ticketlink.co.kr/product/47078,2024.08.24 ,2024.08.24,2024-08-24
44,워터밤 여수 2024,https://image.toast.com/aaaaab/ticketlink/TKL_4/ys_main_0510.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_7/wb_ys_info_0619.jpg,여수 엑스포 스카이타워 해안가 특설무대,,https://www.ticketlink.co.kr/product/47080,2024.08.31 ,2024.08.31,2024-08-31
45,박인희 앵콜 콘서트,https://image.toast.com/aaaaab/ticketlink/TKL_1/PAK_PST_0521.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_3/PAK_INFO_0521.jpg,연세대학교 대강당,박인희,https://www.ticketlink.co.kr/product/50252,2024.09.21,2024.09.21,2024-09-21
