,상품 제목,포스터 URL,상세 포스터 URL,공연장소,캐스팅 리스트,해당 링크,시작일,종료일,종료일_date
25,아리아라이브 2024 이모션 인 서울,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406071001336719d30d-8840-4e9b-9970-930e894b0a98.png/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240607103306ccc753bf-2965-4dbd-ac41-a4f229723ea3.png/melon/quality/90/optimize,웨스트브릿지,"AliA, cotoba (코토바)",https://ticket.melon.com/performance/index.htm?prodId=209982,2024.08.17,2024.08.17,2024-08-17
27,태비 단독콘서트 CINEMA,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240618141045454d958d-c490-41d9-985a-fff25bb1180d.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406191341537f3d63a7-a624-4d71-bae4-378f62241927.jpg/melon/quality/90/optimize,CJ아지트 광흥창,태비 (Taeb2),https://ticket.melon.com/performance/index.htm?prodId=210027,2024.07.14,2024.07.14,2024-07-14
28,소란한 여름밤,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061214212766a24aab-4333-4d69-a827-ea5c99dc183d.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240626162318abfc8758-c92d-4f5d-b883-7f5a22e5803b.jpg/melon/quality/90/optimize,스카이아트홀,소란 (SORAN),https://ticket.melon.com/performance/index.htm?prodId=209996,2024.07.06,2024.07.06,2024-07-06
30,킹스턴 루디스카 20주년 단독 콘서트,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061812051955b264a5-dd0b-4d8c-8842-37ed92c485f4.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240618113546e706c7c2-1d22-47e8-8f03-fee5365ce612.jpg/melon/quality/90/optimize,KT&G 상상마당 홍대 라이브홀,킹스턴 루디스카,https://ticket.melon.com/performance/index.htm?prodId=210021,2024.08.09,2024.08.09,2024-08-09
33,그_냥 단독공연 〈 이번 여름에도 그_냥 〉,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240604103344439daa6c-6bd3-48a5-9d39-f4925b99eb54.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024060410384345d08aac-2df7-4bbe-86e8-37480a9bd04a.jpg/melon/quality/90/optimize,문화정원아트홀,그_냥,https://ticket.melon.com/performance/index.htm?prodId=209975,2024.07.13,2024.07.13,2024-07-13
35,일레인 단독 콘서트 〈Summer〉,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240612144222a296a57d-0de1-407a-b695-7970db6b876f.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061910363885f1414c-a74d-4577-abfa-e8ec420e2432.png/melon/quality/90/optimize,클럽온에어,일레인,https://ticket.melon.com/performance/index.htm?prodId=210002,2024.07.19,2024.07.19,2024-07-19
36,2024 변진섭 전국투어 콘서트：변천사－인천,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240610134524dbe87d04-1c37-4d2e-93b7-3e7edb3d857b.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240611103927f3d17b05-cb73-4203-8fd9-0191ad8200c2.jpg/melon/quality/90/optimize,부평아트센터?해누리극장,변진섭,https://ticket.melon.com/performance/index.htm?prodId=209991,2024.07.20,2024.07.20,2024-07-20
38,2024 카즈미 타테이시 트리오 내한공연－지브리，재즈를 만나다－（부산）,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406211511168f597e22-4859-4776-bfd6-e67b54e26c8e.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024062115211865dc0dcc-f377-4b83-bb29-a8dbbd9a4470.jpg/melon/quality/90/optimize,부산 동래문화회관?대극장,Kazumi Tateishi Trio,https://ticket.melon.com/performance/index.htm?prodId=210040,2024.08.28,2024.08.28,2024-08-28
41,싱어송와이더 ＃2 초승,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061310070583557a5f-e2f1-4a12-a630-21434c9dcaef.png/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406131007270d51c9c3-e489-40da-af38-5c4ad3bb3a2f.png/melon/quality/90/optimize,KT&G 상상마당 홍대 라이브홀,초승 (CHOSNG),https://ticket.melon.com/performance/index.htm?prodId=210003,2024.07.19,2024.07.19,2024-07-19
43,유라 〈꽤 많은 수의 촉수 돌기〉 _싱크넥스트24,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/20240516095513a0334a4d-3469-4da8-b21c-9516db4b33d9.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/202405160955514f56a131-eee5-4b2e-8c59-6367cfdc62ac.jpg/melon/quality/90/optimize,세종문화회관?S씨어터,,https://ticket.melon.com/performance/index.htm?prodId=209888,2024.08.09,2024.08.10,2024-08-10
44,김오키 새턴발라드 〈러브 인 새턴〉 _싱크넥스트24,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/2024051609465580894bc8-b6d4-4ab8-b4b7-363c2318c59e.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240627141012d638e047-6f43-4a49-8c3e-2e35e5b74b4b.jpg/melon/quality/90/optimize,세종문화회관?S씨어터,,https://ticket.melon.com/performance/index.htm?prodId=209886,2024.07.05,2024.07.06,2024-07-06
