상품 제목,포스터 URL,상세 포스터 URL,공연장소,공연기간,캐스팅 리스트,해당 링크
사사롭고,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240614135046580f02ab-76b4-4fab-a754-ed4c8b4a7d7f.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406271753580b56a230-69a7-46a9-8cb3-8e6ba71d7539.jpg/melon/quality/90/optimize,얼라이브홀,2024.07.07 - 2024.07.07,"['달담', '현서 (HYUN SEO)']",https://ticket.melon.com/performance/index.htm?prodId=210014
김아름 1st 단독 콘서트 썸머 시티,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240619101626d4000ece-6a8b-4c25-b30a-49881e6d25b1.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240619101707493e1c19-622c-4b42-98d6-694cd9f1050f.jpg/melon/quality/90/optimize,"현대카드 UNDERSTAGE, 언더스테이지",2024.08.03 - 2024.08.03,['김아름'],https://ticket.melon.com/performance/index.htm?prodId=210029
위수 단독공연 〈LOVE ON AIR〉,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240624142301ba7889e9-833e-41b8-8f3f-d24fc317a707.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240626154942766de6ae-d6e0-418e-ac54-309c3aa2ae14.jpg/melon/quality/90/optimize,홍대 DSM 아트홀,2024.07.13 - 2024.07.13,['위수 (WISUE)'],https://ticket.melon.com/performance/index.htm?prodId=210045
2024 Whee In 1ST WORLD TOUR：WHEE IN THE MOOD［BEYOND］ENCORE,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406031453317f2a1fbe-629f-454a-a228-b968325ecc91.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406071034275372b2b9-bf40-42f3-a69b-be3fc49018da.jpg/melon/quality/90/optimize,올림픽공원?올림픽홀,2024.07.20 - 2024.07.21,['휘인 (Whee In)'],https://ticket.melon.com/performance/index.htm?prodId=209970
2024 aespa LIVE TOUR－SYNK：PARALLEL LINE－,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/04/20240426153155c96cd716-e4a7-493f-93ca-2f3c1f276661.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/20240514100445ed265477-bf52-441e-87a6-a8b996cac089.jpg/melon/quality/90/optimize,잠실실내체육관,2024.06.29 - 2024.06.30,['aespa'],https://ticket.melon.com/performance/index.htm?prodId=209736
춘길＆모세 2024 소극장 공연 ‘발라드콘서트로트’,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406181443285476383f-2a12-446d-9ae3-dc00984e0001.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406181706353f61306d-c115-4360-a999-107d11afea69.jpg/melon/quality/90/optimize,구름아래소극장,2024.07.14 - 2024.07.14,"['춘길', '모세']",https://ticket.melon.com/performance/index.htm?prodId=210028
PAIR PLAY：Vol．9 Bump2Soul x Soul delivery,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240605091303d66254bf-dde1-4fd8-8f04-db68178c856b.png/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406051433195aebbc21-f237-4c48-87c9-d366670be617.png/melon/quality/90/optimize,KT&G 상상마당 홍대 라이브홀,2024.07.07 - 2024.07.07,"['Bump2Soul', 'Soul delivery']",https://ticket.melon.com/performance/index.htm?prodId=209973
이번 정류장은－EP．2 예빛,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240614113211a4da87cb-9e18-4c7c-99cd-1388b8ccd298.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240617090555fa9dbe7c-77ff-4514-b8c3-7a384fa5b361.jpg/melon/quality/90/optimize,KT&G 상상마당 홍대 라이브홀,2024.07.14 - 2024.07.14,['예빛'],https://ticket.melon.com/performance/index.htm?prodId=210012
Soundberry Festa’ 24,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061711045955837721-7eac-4582-9a54-c75b2d6c7af2.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406201132336b66e6a8-c8cb-446e-8e36-b5f758288267.jpg/melon/quality/90/optimize,KBS 아레나 일대,2024.07.20 - 2024.07.21,"['I.M (아이엠)', '다섯 (Dasutt)', '마치 (MRCH)', 'CNBLUE (씨엔블루)', ""I'll (아일)"", '오월오일 ( 五月五日 )', '원위 (ONEWE)', '장기하', '죠지', 'creespy', '키드밀리 (Kid Milli)', 'Tabber', '한요한', 'FTISLAND (FT아일랜드)', 'Hi-Fi Un!corn', '소수빈', '신지훈', '로이킴', '엔플라잉 (N.Flying)', '정준일', '채무자들', '최유리', '카더가든', '폴킴', '후이', '92914']",https://ticket.melon.com/performance/index.htm?prodId=210016
실수 덜하는 루루의 빈혈 수치 정상 축 공연,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406181047324229e86d-471f-4b36-8a48-239f9c8c897a.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061811001527e2e73d-937e-400b-9689-db2cb34457d0.jpg/melon/quality/90/optimize,벨로주 홍대,2024.07.27 - 2024.07.27,"['Ruru (루루)', 'IOHBOY (아이오보이)']",https://ticket.melon.com/performance/index.htm?prodId=210023
UVERworld＆CNBLUE SUMMER LIVE IN JAPAN and KOREA UNLIMITED CHALLENGE,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/202405081352285333d3c0-09a7-4ec2-ae59-a7ed1798c652.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/202405101141227d2f06c9-ef79-4d94-84c7-1aa94919f40f.jpg/melon/quality/90/optimize,고려대학교 화정체육관,2024.07.27 - 2024.07.27,"['CNBLUE (씨엔블루)', 'UVERworld']",https://ticket.melon.com/performance/index.htm?prodId=209833
〈Red C：The Red Sea〉 1st Album Concert,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406071754178d0a7dc6-33ff-4282-b5f3-41bf833e546a.png/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240607180554d332f98b-b021-4415-a14d-384c22ae02e1.png/melon/quality/90/optimize,CJ아지트 광흥창,2024.06.29 - 2024.06.29,['Red C'],https://ticket.melon.com/performance/index.htm?prodId=209988
2024（G）I－DLE WORLD TOUR［iDOL］IN SEOUL,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240617162012fbb51b9a-40ef-419e-b883-b0cef4e95a1d.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/202405301548354aea52cd-7faf-4d85-90cf-402f9b50b996.jpg/melon/quality/90/optimize,KSPO DOME (올림픽 체조경기장),2024.08.03 - 2024.08.04,['(여자)아이들'],https://ticket.melon.com/performance/index.htm?prodId=209948
KAI INTO THE WORLD－SEOUL,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/20240530131307c35e9fbb-302b-42ef-a673-4bc4df291057.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024060314101117fe400e-406a-4dec-a148-78493b66c39e.jpg/melon/quality/90/optimize,예술의전당?리사이틀홀,2024.06.29 - 2024.06.29,['카이 (Kai)'],https://ticket.melon.com/performance/index.htm?prodId=209941
