URL,상품 제목,포스터 URL,상세 포스터 URL,공연장소,공연기간,캐스팅 리스트
http://ticket.yes24.com/Perf/49596,[대전] 메타코미디 “Stand-up Assemble Comedy 24′TOUR”,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240509/20240509-49596.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051413_01.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051413_02.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051413_03.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051413_04.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051413_05.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051413_06.jpg",충남대학교 정심화홀,2024.07.06 ~ 2024.07.06,"대니초, 김주환, 송하빈, 손동훈, 김영구"
http://ticket.yes24.com/Perf/49896,[김해] Original Sound Track by. A.M Band,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240531/20240531-49896.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240531/24053102.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240531/24053103.jpg",김해문화의전당 누리홀,2024.06.29 ~ 2024.06.29,A.M Band
http://ticket.yes24.com/Perf/49969,2024 치즈 단독콘서트 ‘우릴 머금던 바다’,http://tkfile.yes24.com/upload2/PerfBlog/202406/20240607/20240607-49969.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240610/24061009.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240610/24061010_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240610/24061010_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240610/24061011.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240610/24061012.jpg",예스24 원더로크홀,2024.07.04 ~ 2024.07.07,치즈
http://ticket.yes24.com/Perf/50044,[부산] [ EUNOIA ] 크로스오버 콘서트 in 김광석,http://tkfile.yes24.com/upload2/PerfBlog/202406/20240626/20240626-50044.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240617/24061702_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240617/24061702_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240617/24061702_03.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240617/24061702_04.jpg",부산 소향씨어터 신한카드홀,2024.08.18 ~ 2024.08.18,"오스틴 킴, 김성현, 서영택, 김수인, 이승민"
http://ticket.yes24.com/Perf/49589,[대구] 메타코미디 “Stand-up Assemble Comedy 24′TOUR”,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240509/20240509-49589.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051411_01.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051411_02.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051411_03.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051411_04.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051411_05.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051411_06.jpg",엑스코 오디토리움,2024.06.29 ~ 2024.06.29,"대니초, 송하빈, 손동훈, 김주환, 박철현"
http://ticket.yes24.com/Perf/49999,맨스티어 단독공연 AK!,http://tkfile.yes24.com/upload2/PerfBlog/202406/20240614/20240614-49999_1.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240614/24061402_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240614/24061402_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240614/24061402_03.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240614/24061402_04.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240614/24061402_05.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240614/24061402_06.jpg",YES24 LIVE HALL,2024.07.14 ~ 2024.07.14,Men's Tear
http://ticket.yes24.com/Perf/49633,2024 인천펜타포트 락 페스티벌 X KB국민카드 스타샵,http://tkfile.yes24.com/upload2/PerfBlog/202406/20240624/20240624-49633.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240607/24060718.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240603/24060307_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240603/24060307_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240603/24060307_03.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240603/24060307_04.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240603/24060307_05.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240603/24060307_06.jpg",송도달빛축제공원,2024.08.02 ~ 2024.08.04,"TURNSTILE, KIM GORDON, 새소년, GUMX, JACK WHITE, GIRL IN RED, RIDE, 실리카겔, 잔나비, 글렌체크, 놀이도감, THE POLES"
http://ticket.yes24.com/Perf/49907,[오산] 2024 김창옥 토크콘서트 시즌4,http://tkfile.yes24.com/upload2/PerfBlog/202406/20240603/20240603-49907.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240603/24060303_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240603/24060303_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240603/24060303_03.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240603/24060304.jpg",오산문화예술회관 대공연장,2024.08.10 ~ 2024.08.10,김창옥
http://ticket.yes24.com/Perf/50091,[강릉] 2024 김창옥 토크콘서트 시즌4,http://tkfile.yes24.com/upload2/PerfBlog/202406/20240620/20240620-50091.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240620/24062012.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240620/24062013.jpg",강릉아트센터 사임당홀,2024.08.04 ~ 2024.08.04,김창옥
http://ticket.yes24.com/Perf/49711,2024 UKISS FAN CONCERT ‘First Memories’,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240514/20240514-49711.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240520/24052011_01.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240520/24052011_02.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240520/24052011_03.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240520/24052011_04.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240520/24052011_05.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240520/24052011_06.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240520/24052011_07.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240520/24052011_08.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240520/24052011_09.jpg",예스24 원더로크홀,2024.06.29 ~ 2024.06.29,유키스
http://ticket.yes24.com/Perf/49277,[전주] 나훈아 ‘2024 고마웠습니다-라스트 콘서트(LAST CONCERT)’,http://tkfile.yes24.com/upload2/PerfBlog/202404/20240425/20240425-49277.jpg,"http://tkfile.yes24.com/Upload2/Board/202404/20240430/49277.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240429/49277_01.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240429/49277_02.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240429/49277_03.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240429/49277_04.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240429/49277_05.jpg",전주 실내체육관,2024.07.06 ~ 2024.07.06,나훈아
http://ticket.yes24.com/Perf/49609,[수원] 메타코미디 “Stand-up Assemble Comedy 24′TOUR”,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240509/20240509-49609.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051419_01.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051419_02.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051419_03.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051419_04.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051419_05.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051419_06.jpg",경기대학교 텔레컨벤션,2024.07.13 ~ 2024.07.13,"김동하, 이제규, 손동훈, 김주환, 박철현"
http://ticket.yes24.com/Perf/49363,[청주] 2024 김창옥 토크콘서트 시즌4,http://tkfile.yes24.com/upload2/PerfBlog/202404/20240405/20240405-49363.jpg,"http://tkfile.yes24.com/Upload2/Board/202404/20240405/24040511_01.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240405/24040511_02.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240405/24040512.jpg",청주 예술의전당 대공연장,2024.06.29 ~ 2024.06.29,김창옥
http://ticket.yes24.com/Perf/49710,Live ＆ Music Festival,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240514/20240514-49710.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051424_01.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051424_02.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051424_03.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051424_04.jpg",YES24 LIVE HALL,2024.07.13 ~ 2024.07.13,"HANATAN, GLUTAMINE, D.Watt, Maron, nayuta, Noristry"
http://ticket.yes24.com/Perf/49601,[서울] 메타코미디 “Stand-up Assemble Comedy 24′TOUR”,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240509/20240509-49601.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051416_01.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051416_02.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051416_03.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051416_04.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051416_05.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051416_06.jpg",연세대학교 대강당,2024.08.10 ~ 2024.08.11,"대니초, 김병선, 이용주, 송하빈, 김주환, 김동하, 정재형, 김민수, 이제규, 손동훈"
http://ticket.yes24.com/Perf/50116,[창원] 2024 김창옥토크콘서트 시즌 4,http://tkfile.yes24.com/upload2/PerfBlog/202406/20240624/20240624-50116.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240624/24062412.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240624/24062413.jpg",창원성산아트홀 대극장,2024.07.28 ~ 2024.07.28,김창옥
http://ticket.yes24.com/Perf/49599,[부산] 메타코미디 “Stand-up Assemble Comedy 24′TOUR”,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240509/20240509-49599.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051415_01_1.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051415_02.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051415_03.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051415_04.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051415_05.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051415_06.jpg",부산 소향씨어터 신한카드홀,2024.08.03 ~ 2024.08.03,"대니초, 송하빈, 김병선, 손동훈, 김주환"
http://ticket.yes24.com/Perf/49358,HAVE A NICE TRIP 2024,http://tkfile.yes24.com/upload2/PerfBlog/202406/20240620/20240620-49358.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240620/24062019.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240405/24040504_01.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240405/24040504_02.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240405/24040504_03.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240405/24040505.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240405/24040506_01.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240405/24040506_02.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240405/24040506_03.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240405/24040507.jpg","킨텍스 제2전시장 7,8홀",2024.07.27 ~ 2024.07.28,상세페이지 참고
http://ticket.yes24.com/Perf/49789,[매직 갈라쇼] 제19회 부산국제매직페스티벌 -매직 컨벤션-,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240522/20240522-49789_1.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240522/24052221.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240522/24052222.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240522/24052235_01.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240522/24052235_02.jpg",부산 영화의전당 하늘연극장,2024.06.29 ~ 2024.06.30,"유호진, 프란체스코 델라보나, 길렘 쥴리아, 샤오룬, 카츠라가와 심페이, 장해석, 최이안"
http://ticket.yes24.com/Perf/50107,[부산] YEONGDO INDIE CONCERT [Romantic 영도],http://tkfile.yes24.com/upload2/PerfBlog/202406/20240624/20240624-50107.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240624/24062409_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240624/24062409_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240624/24062409_03.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240624/24062409_04.jpg",영도문화예술회관 봉래홀(대공연장),2024.07.30 ~ 2024.07.30,"밴드 너드커넥션, 몽돌"
http://ticket.yes24.com/Perf/49947,yonige Live in Seoul,http://tkfile.yes24.com/upload2/PerfBlog/202406/20240605/20240605-49947.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240605/24060506.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240605/24060507.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240605/24060508.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240605/24060509.jpg",홍대 롤링홀,2024.07.12 ~ 2024.07.12,yonige
http://ticket.yes24.com/Perf/50046,TULA Live Concert ‘진화의 시간 TIME TO EVOLVE’,http://tkfile.yes24.com/upload2/PerfBlog/202406/20240618/20240618-50046.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240618/24061803_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240618/24061803_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240618/24061803_03.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240618/24061803_04.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240618/24061803_05.jpg",대원콘텐츠라이브공연장,2024.07.13 ~ 2024.07.13,"TULA, 정여진, 나오미, T-SESSION"
http://ticket.yes24.com/Perf/49502,Ohashi Ayaka 내한공연,http://tkfile.yes24.com/upload2/PerfBlog/202404/20240419/20240419-49502.jpg,"http://tkfile.yes24.com/Upload2/Board/202404/20240419/24041905_01.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240419/24041905_02.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240419/24041905_03.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240419/24041905_04.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240419/24041905_05.jpg, http://tkfile.yes24.com/Upload2/Board/202404/20240419/24041905_06.jpg",마포아트센터 아트홀맥,2024.06.30 ~ 2024.06.30,Ohashi Ayaka
http://ticket.yes24.com/Perf/49606,[울산] 메타코미디 “Stand-up Assemble Comedy 24′TOUR”,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240509/20240509-49606.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051418_01.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051418_02.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051418_03.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051418_04.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051418_05.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240514/24051418_06.jpg",KBS울산홀,2024.07.27 ~ 2024.07.27,"김동하, 이제규, 손동훈, 김주환, 박철현"
http://ticket.yes24.com/Perf/49995,"[제주] 2024 오누이 ＂우리들의 학창시절＂ [김용임,진성]",http://tkfile.yes24.com/upload2/PerfBlog/202406/20240611/20240611-49995.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240611/24061107_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240611/24061107_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240611/24061107_03.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240611/24061107_04.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240611/24061107_05.jpg",제주 한라아트홀 대극장,2024.09.07 ~ 2024.09.07,"김용임, 진성"
http://ticket.yes24.com/Perf/49686,[창원] 7월 토요콘서트 - KARDI CONCERT,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240513/20240513-49686.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240513/24051307_01.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240513/24051307_02.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240513/24051307_03.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240513/24051307_04.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240513/24051307_05.jpg",창원성산아트홀 소극장,2024.07.13 ~ 2024.07.13,KARDI
http://ticket.yes24.com/Perf/49788,[FISM QC 국제마술대회] 제19회 부산국제매직페스티벌 -매직 컨벤션-,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240522/20240522-49788_1.jpg,"http://tkfile.yes24.com/Upload2/Board/202405/20240522/24052217.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240522/24052218.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240522/24052219.jpg, http://tkfile.yes24.com/Upload2/Board/202405/20240522/24052234.jpg",부산 영화의전당 하늘연극장,2024.06.29 ~ 2024.06.30,
http://ticket.yes24.com/Perf/50035,Soundberry Festa’ 24,http://tkfile.yes24.com/upload2/PerfBlog/202406/20240614/20240614-50035.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240628/24062811_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240628/24062811_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240628/24062811_03.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240628/24062812_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240628/24062812_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240628/24062812_03.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240628/24062813.jpg",KBS아레나 일대,2024.07.20 ~ 2024.07.21,"I.M, 다섯, 마치(MRCH), 씨엔블루, 아일, 오월오일, 원위(ONEWE), 장기하, 죠지, 크리스피, 키드밀리, 태버, 한요한, FT아일랜드, Hi-Fi Un!corn, 로이킴, 소수빈, 신지훈, 엔플라잉, 정준일, 채무자들, 최유리"
http://ticket.yes24.com/Perf/50112,2024 수아레콘서트 - 김태우와 하고 싶은 말,http://tkfile.yes24.com/upload2/PerfBlog/202406/20240624/20240624-50112.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240624/50112_N.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240624/50112_2.jpg",성남아트센터 오페라하우스,2024.07.19 ~ 2024.07.19,김태우(god)
http://ticket.yes24.com/Special/49643,ATEEZ 2024 FANMEETING〈ATINY’S VOYAGE FROM A TO Z〉,http://tkfile.yes24.com/upload2/PerfBlog/202405/20240516/20240516-49643.jpg,"http://tkfile.yes24.com/Upload2/Board/202406/20240619/49643k_01.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240619/49643k_02.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240619/49643k_03.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240619/49643k_04.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240619/49643k_05.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240619/49643k_06.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240619/49643k_07.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240619/49643k_08.jpg, http://tkfile.yes24.com/Upload2/Board/202406/20240619/49643k_09.jpg",잠실실내체육관,2024.07.06 ~ 2024.07.07,ATEEZ
